Name,Sex,Age,Height,Weight,Year,Event,Medal
Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76,2012,"1,500 metres",NA
Antonio Abadia Beci,M,26,170,65,2016,"5,000 metres",NA
Jos Manuel Abascal Gmez,M,22,182,67,1980,"1,500 metres",NA
Jos Manuel Abascal Gmez,M,26,182,67,1984,"1,500 metres",Bronze
Georgia Abatzidou,F,35,155,43,2004,Marathon,NA
Carlos Rodolfo Abaunza Balladares,M,18,168,60,2004,100 metres,NA
Abubakar Abbas Abbas,M,20,175,66,2016,400 metres,NA
Maher Abbas,M,22,178,78,1988,400 metres,NA
Maher Abbas,M,22,178,78,1988,800 metres,NA
Ruslan Abbasov,M,22,181,74,2008,100 metres,NA
Ali Abdalla Afringi,M,25,163,57,2008,"5,000 metres",NA
Moustafa Abdel Naser,M,21,176,74,1996,400 metres,NA
Abdalla Abdelgadir El-Sheikh,M,21,170,58,2008,"1,500 metres",NA
El-Hachemi Abdenouz,M,24,170,63,1980,"5,000 metres",NA
Rda Abdenouz,M,19,170,63,1988,800 metres,NA
Rda Abdenouz,M,23,170,63,1992,800 metres,NA
Bashir Abdi,M,27,176,56,2016,"5,000 metres",NA
Bashir Abdi,M,27,176,56,2016,"10,000 metres",NA
Talal Omar Abdillahi,M,21,170,57,1988,"10,000 metres",NA
Talal Omar Abdillahi,M,25,170,57,1992,Marathon,NA
"Abdihakim ""Abdi"" Abdirahman",M,23,178,61,2000,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,27,178,61,2004,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,31,178,61,2008,"10,000 metres",NA
"Abdihakim ""Abdi"" Abdirahman",M,35,178,61,2012,Marathon,NA
Hassane Abdou,M,23,185,67,1996,400 metres,NA
Brahim Daoud Abdoulaye,M,25,NA,71,1996,200 metres,NA
Maizurah Abdul Rahim,F,17,147,50,2016,200 metres,NA
Abdul Haji Abdul Latheef,M,17,168,54,1988,Marathon,NA
Dana Abdul Razak (Hussain-),F,22,163,56,2008,100 metres,NA
Dana Abdul Razak (Hussain-),F,26,163,56,2012,100 metres,NA
Fahmi Ahmed Abdul Wahab Al-Tahri,M,23,NA,NA,1988,800 metres,NA
Ahmad Hassan Abdullah,M,27,164,55,2008,"10,000 metres",NA
Mohamed Samy Abdullah,M,NA,165,65,1984,100 metres,NA
Laye Abdullayeva,F,21,170,47,2012,"5,000 metres",NA
Addis Abebe,M,21,160,50,1992,"5,000 metres",NA
Addis Abebe,M,21,160,50,1992,"10,000 metres",Bronze
Mara Abel Diguez,F,25,163,46,2000,"10,000 metres",NA
Mara Abel Diguez,F,29,163,46,2004,Marathon,NA
Alfonso Abelln Lpez,M,37,174,63,1988,Marathon,NA
Gezahgne Abera,M,22,166,58,2000,Marathon,Gold
Tesfaye Abera Dibaba,M,24,192,68,2016,Marathon,NA
Elvan Abeylegesse,F,21,159,40,2004,"1,500 metres",NA
Elvan Abeylegesse,F,21,159,40,2004,"5,000 metres",NA
Elvan Abeylegesse,F,25,159,40,2008,"5,000 metres",Silver
Elvan Abeylegesse,F,25,159,40,2008,"10,000 metres",NA
Inga Eduardovna Abitova,F,26,164,58,2008,"10,000 metres",NA
Inni Aboubacar,M,NA,NA,NA,1988,Marathon,NA
Rabah Aboud,M,31,180,64,2012,"5,000 metres",NA
Tadesse Abraham,M,33,178,61,2016,Marathon,NA
Shiny Kurisingal Abraham-Wilson,F,19,167,53,1984,800 metres,NA
Shiny Kurisingal Abraham-Wilson,F,23,167,53,1988,800 metres,NA
Shiny Kurisingal Abraham-Wilson,F,27,167,53,1992,800 metres,NA
Glen Abrahams Martnez,M,22,179,72,1984,100 metres,NA
Glen Abrahams Martnez,M,22,179,72,1984,200 metres,NA
Valery Aleksandrovich Abramov,M,23,173,61,1980,"5,000 metres",NA
Aliyah Abrams,F,19,163,53,2016,400 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,20,176,68,1988,800 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,24,176,68,1992,800 metres,NA
Antnio da Cunha Meneses Martins Abrantes,M,28,176,68,1996,800 metres,NA
Arnaldo Lus Isaas Abrantes,M,21,183,72,2008,200 metres,NA
Arnaldo Lus Isaas Abrantes,M,25,183,72,2012,200 metres,NA
rika Abril Surez,F,34,164,52,2012,Marathon,NA
rika Abril Surez,F,38,164,52,2016,Marathon,NA
Ayele Abshero Biza,M,21,168,62,2012,Marathon,NA
Mohamed Abu Abdullah,M,27,173,74,2008,100 metres,NA
Methkal Marouf Abu Drais,M,28,168,67,2012,Marathon,NA
Methkal Marouf Abu Drais,M,32,168,67,2016,Marathon,NA
Majed Abu Maraheel,M,33,180,76,1996,"10,000 metres",NA
Nagmeldin Ali Abubakr,M,18,172,63,2004,400 metres,NA
Nagmeldin Ali Abubakr,M,22,172,63,2008,400 metres,NA
Sanna Abubkheet,F,19,157,52,2004,800 metres,NA
"Folashade ""Shade"" Abugan",F,17,150,64,2008,400 metres,NA
Fartun Abukar Omar,F,18,170,58,2004,100 metres,NA
Mohammed Abukhousa,M,23,170,67,2016,100 metres,NA
Kariman Abuljadayel,F,22,180,70,2016,100 metres,NA
Shigeru Aburaya,M,27,163,51,2004,Marathon,NA
Claudia Acerenza Marez,F,22,160,55,1988,100 metres,NA
Claudia Acerenza Marez,F,22,160,55,1988,200 metres,NA
Jos Eduardo Acevedo Herrera,M,22,179,65,2008,200 metres,NA
Wilson Achia,M,25,167,52,1984,Marathon,NA
Janet Achola,F,24,167,52,2012,"1,500 metres",NA
Julius Achon,M,19,168,55,1996,"1,500 metres",NA
